,emotion,img,aus
0,angry,./data/images/images/train/angry/0.jpg,"4,5,7,10,22,23,25,26"
1,angry,./data/images/images/train/angry/1.jpg,"4,5,7,17,23"
2,angry,./data/images/images/train/angry/10.jpg,"4,5,7,23"
3,angry,./data/images/images/train/angry/10002.jpg,"4,5,7,10,23,25,27"
4,angry,./data/images/images/train/angry/10016.jpg,"4,5,7,17,23"
5,angry,./data/images/images/train/angry/10037.jpg,"4,5,7,10,22,23,25,26"
6,angry,./data/images/images/train/angry/10038.jpg,"4,5,7,23"
7,angry,./data/images/images/train/angry/10057.jpg,"4,5,7,17,23"
8,angry,./data/images/images/train/angry/10063.jpg,"4,5,7,10,23,25,27"
9,angry,./data/images/images/train/angry/10069.jpg,"4,5,7,17,23"
10,angry,./data/images/images/train/angry/10100.jpg,"4,5,7,17,24"
11,angry,./data/images/images/train/angry/10105.jpg,"4,5,7,10,23,25,27"
12,angry,./data/images/images/train/angry/10115.jpg,"4,5,7,23"
13,angry,./data/images/images/train/angry/10122.jpg,"4,5,7,17,23"
14,angry,./data/images/images/train/angry/10142.jpg,"4,5,7,17,23"
15,angry,./data/images/images/train/angry/1015.jpg,"4,5,7,17,24"
16,angry,./data/images/images/train/angry/10154.jpg,"4,5,7,17,23"
17,angry,./data/images/images/train/angry/10155.jpg,"4,5,7,10,23,25,27"
18,angry,./data/images/images/train/angry/10158.jpg,"4,5,7,10,23,25,27"
19,angry,./data/images/images/train/angry/1016.jpg,"4,5,7,17,24"
20,angry,./data/images/images/train/angry/10167.jpg,"4,5,7,10,23,25,27"
21,angry,./data/images/images/train/angry/10178.jpg,"4,5,7,23"
22,angry,./data/images/images/train/angry/1018.jpg,"4,5,7,23"
23,angry,./data/images/images/train/angry/10181.jpg,"4,5,7,23"
24,angry,./data/images/images/train/angry/10192.jpg,"4,5,7,10,22,23,25,26"
25,angry,./data/images/images/train/angry/10196.jpg,"4,5,7,10,23,25,27"
26,angry,./data/images/images/train/angry/10202.jpg,"4,5,7,17,24"
27,angry,./data/images/images/train/angry/10207.jpg,"4,5,7,10,22,23,25,26"
28,angry,./data/images/images/train/angry/10214.jpg,"4,5,7,10,22,23,25,26"
29,angry,./data/images/images/train/angry/10223.jpg,"4,5,7,17,23"
30,angry,./data/images/images/train/angry/10226.jpg,"4,5,7,17,24"
31,angry,./data/images/images/train/angry/10240.jpg,"4,5,7,10,23,25,27"
32,angry,./data/images/images/train/angry/10242.jpg,"4,5,7,17,24"
33,angry,./data/images/images/train/angry/10250.jpg,"4,5,7,17,24"
34,angry,./data/images/images/train/angry/10251.jpg,"4,5,7,17,23"
35,angry,./data/images/images/train/angry/10253.jpg,"4,5,7,17,23"
36,angry,./data/images/images/train/angry/10265.jpg,"4,5,7,17,23"
37,angry,./data/images/images/train/angry/10287.jpg,"4,5,7,17,23"
38,angry,./data/images/images/train/angry/10302.jpg,"4,5,7,10,23,25,27"
39,angry,./data/images/images/train/angry/10310.jpg,"4,5,7,10,23,25,27"
40,angry,./data/images/images/train/angry/10325.jpg,"4,5,7,17,23"
41,angry,./data/images/images/train/angry/10348.jpg,"4,5,7,17,24"
42,angry,./data/images/images/train/angry/10359.jpg,"4,5,7,23"
43,angry,./data/images/images/train/angry/10363.jpg,"4,5,7,23"
44,angry,./data/images/images/train/angry/10364.jpg,"4,5,7,17,24"
45,angry,./data/images/images/train/angry/10373.jpg,"4,5,7,10,22,23,25,26"
46,angry,./data/images/images/train/angry/10377.jpg,"4,5,7,23"
47,angry,./data/images/images/train/angry/10378.jpg,"4,5,7,17,23"
48,angry,./data/images/images/train/angry/10385.jpg,"4,5,7,17,23"
49,angry,./data/images/images/train/angry/10388.jpg,"4,5,7,23"
50,angry,./data/images/images/train/angry/1039.jpg,"4,5,7,10,22,23,25,26"
51,angry,./data/images/images/train/angry/10394.jpg,"4,5,7,17,24"
52,angry,./data/images/images/train/angry/10397.jpg,"4,5,7,17,23"
53,angry,./data/images/images/train/angry/10401.jpg,"4,5,7,10,22,23,25,26"
54,angry,./data/images/images/train/angry/10420.jpg,"4,5,7,10,23,25,27"
55,angry,./data/images/images/train/angry/10429.jpg,"4,5,7,10,23,25,27"
56,angry,./data/images/images/train/angry/10430.jpg,"4,5,7,23"
57,angry,./data/images/images/train/angry/10431.jpg,"4,5,7,10,23,25,27"
58,angry,./data/images/images/train/angry/10439.jpg,"4,5,7,17,24"
59,angry,./data/images/images/train/angry/10440.jpg,"4,5,7,17,24"
60,angry,./data/images/images/train/angry/10441.jpg,"4,5,7,23"
61,angry,./data/images/images/train/angry/10462.jpg,"4,5,7,17,24"
62,angry,./data/images/images/train/angry/10472.jpg,"4,5,7,17,24"
63,angry,./data/images/images/train/angry/10475.jpg,"4,5,7,17,24"
64,angry,./data/images/images/train/angry/10490.jpg,"4,5,7,10,22,23,25,26"
65,angry,./data/images/images/train/angry/10497.jpg,"4,5,7,10,22,23,25,26"
66,angry,./data/images/images/train/angry/1051.jpg,"4,5,7,10,22,23,25,26"
67,angry,./data/images/images/train/angry/10510.jpg,"4,5,7,23"
68,angry,./data/images/images/train/angry/10511.jpg,"4,5,7,17,23"
69,angry,./data/images/images/train/angry/10541.jpg,"4,5,7,17,24"
70,angry,./data/images/images/train/angry/10544.jpg,"4,5,7,23"
71,angry,./data/images/images/train/angry/10548.jpg,"4,5,7,17,24"
72,angry,./data/images/images/train/angry/10563.jpg,"4,5,7,10,22,23,25,26"
73,angry,./data/images/images/train/angry/10573.jpg,"4,5,7,17,23"
74,angry,./data/images/images/train/angry/10592.jpg,"4,5,7,10,22,23,25,26"
75,angry,./data/images/images/train/angry/10595.jpg,"4,5,7,17,23"
76,angry,./data/images/images/train/angry/10603.jpg,"4,5,7,23"
77,angry,./data/images/images/train/angry/10604.jpg,"4,5,7,10,23,25,27"
78,angry,./data/images/images/train/angry/1061.jpg,"4,5,7,17,23"
79,angry,./data/images/images/train/angry/10616.jpg,"4,5,7,17,23"
80,angry,./data/images/images/train/angry/10619.jpg,"4,5,7,17,24"
81,angry,./data/images/images/train/angry/10623.jpg,"4,5,7,10,23,25,27"
82,angry,./data/images/images/train/angry/10626.jpg,"4,5,7,17,23"
83,angry,./data/images/images/train/angry/10651.jpg,"4,5,7,23"
84,angry,./data/images/images/train/angry/10656.jpg,"4,5,7,10,23,25,27"
85,angry,./data/images/images/train/angry/1066.jpg,"4,5,7,17,24"
86,angry,./data/images/images/train/angry/10661.jpg,"4,5,7,10,22,23,25,26"
87,angry,./data/images/images/train/angry/10666.jpg,"4,5,7,10,23,25,27"
88,angry,./data/images/images/train/angry/10682.jpg,"4,5,7,17,24"
89,angry,./data/images/images/train/angry/10692.jpg,"4,5,7,10,22,23,25,26"
90,angry,./data/images/images/train/angry/107.jpg,"4,5,7,10,22,23,25,26"
91,angry,./data/images/images/train/angry/10714.jpg,"4,5,7,10,22,23,25,26"
92,angry,./data/images/images/train/angry/10716.jpg,"4,5,7,10,23,25,27"
93,angry,./data/images/images/train/angry/10726.jpg,"4,5,7,10,22,23,25,26"
94,angry,./data/images/images/train/angry/10729.jpg,"4,5,7,17,23"
95,angry,./data/images/images/train/angry/10771.jpg,"4,5,7,17,23"
96,angry,./data/images/images/train/angry/10785.jpg,"4,5,7,10,23,25,27"
97,angry,./data/images/images/train/angry/10786.jpg,"4,5,7,23"
98,angry,./data/images/images/train/angry/10790.jpg,"4,5,7,17,24"
99,angry,./data/images/images/train/angry/10805.jpg,"4,5,7,17,24"
100,angry,./data/images/images/train/angry/10812.jpg,"4,5,7,17,23"
101,angry,./data/images/images/train/angry/10814.jpg,"4,5,7,10,23,25,27"
102,angry,./data/images/images/train/angry/10819.jpg,"4,5,7,10,22,23,25,26"
103,angry,./data/images/images/train/angry/10821.jpg,"4,5,7,17,24"
104,angry,./data/images/images/train/angry/10831.jpg,"4,5,7,17,24"
105,angry,./data/images/images/train/angry/10851.jpg,"4,5,7,10,23,25,27"
106,angry,./data/images/images/train/angry/10874.jpg,"4,5,7,17,23"
107,angry,./data/images/images/train/angry/10889.jpg,"4,5,7,10,22,23,25,26"
108,angry,./data/images/images/train/angry/10890.jpg,"4,5,7,10,22,23,25,26"
109,angry,./data/images/images/train/angry/10894.jpg,"4,5,7,23"
110,angry,./data/images/images/train/angry/1090.jpg,"4,5,7,17,24"
111,angry,./data/images/images/train/angry/10900.jpg,"4,5,7,17,24"
112,angry,./data/images/images/train/angry/10904.jpg,"4,5,7,17,24"
113,angry,./data/images/images/train/angry/10907.jpg,"4,5,7,10,23,25,27"
114,angry,./data/images/images/train/angry/10908.jpg,"4,5,7,17,24"
115,angry,./data/images/images/train/angry/10913.jpg,"4,5,7,10,23,25,27"
116,angry,./data/images/images/train/angry/10915.jpg,"4,5,7,17,24"
117,angry,./data/images/images/train/angry/10918.jpg,"4,5,7,10,22,23,25,26"
118,angry,./data/images/images/train/angry/10925.jpg,"4,5,7,17,24"
119,angry,./data/images/images/train/angry/10928.jpg,"4,5,7,17,24"
120,angry,./data/images/images/train/angry/10939.jpg,"4,5,7,23"
121,angry,./data/images/images/train/angry/10942.jpg,"4,5,7,17,23"
122,angry,./data/images/images/train/angry/10947.jpg,"4,5,7,10,22,23,25,26"
123,angry,./data/images/images/train/angry/10959.jpg,"4,5,7,17,23"
124,angry,./data/images/images/train/angry/10961.jpg,"4,5,7,23"
125,angry,./data/images/images/train/angry/10965.jpg,"4,5,7,17,23"
126,angry,./data/images/images/train/angry/10973.jpg,"4,5,7,10,23,25,27"
127,angry,./data/images/images/train/angry/1098.jpg,"4,5,7,10,23,25,27"
128,angry,./data/images/images/train/angry/10984.jpg,"4,5,7,17,23"
129,angry,./data/images/images/train/angry/10988.jpg,"4,5,7,23"
130,angry,./data/images/images/train/angry/10989.jpg,"4,5,7,10,22,23,25,26"
131,angry,./data/images/images/train/angry/10994.jpg,"4,5,7,10,23,25,27"
132,angry,./data/images/images/train/angry/11004.jpg,"4,5,7,17,23"
133,angry,./data/images/images/train/angry/11008.jpg,"4,5,7,10,22,23,25,26"
134,angry,./data/images/images/train/angry/11011.jpg,"4,5,7,17,24"
135,angry,./data/images/images/train/angry/11014.jpg,"4,5,7,17,23"
136,angry,./data/images/images/train/angry/11018.jpg,"4,5,7,23"
137,angry,./data/images/images/train/angry/1102.jpg,"4,5,7,10,23,25,27"
138,angry,./data/images/images/train/angry/11042.jpg,"4,5,7,23"
