,session,emotion,img,aus
0,4429,fear,./data/images/images/train/fear/10010.jpg,"1,2,4,5,25"
1,4430,fear,./data/images/images/train/fear/10012.jpg,"1,2,4,5,25"
2,4431,fear,./data/images/images/train/fear/10015.jpg,"1,2,4,5"
3,4432,fear,./data/images/images/train/fear/10025.jpg,"1,2,4,5,25"
4,4433,fear,./data/images/images/train/fear/10032.jpg,"1,2,4,5,25"
5,4434,fear,./data/images/images/train/fear/10040.jpg,"1,2,4,5"
6,4435,fear,./data/images/images/train/fear/10047.jpg,"1,2,4,5,25"
7,4436,fear,./data/images/images/train/fear/10055.jpg,"1,2,4,5"
8,4437,fear,./data/images/images/train/fear/10067.jpg,"1,2,4,5"
9,4438,fear,./data/images/images/train/fear/10072.jpg,"1,2,4,5,25"
10,4439,fear,./data/images/images/train/fear/10075.jpg,"1,2,4,5,25"
11,4440,fear,./data/images/images/train/fear/10086.jpg,"1,2,4,5"
12,4441,fear,./data/images/images/train/fear/10088.jpg,"1,2,4,5,25"
13,4442,fear,./data/images/images/train/fear/10090.jpg,"1,2,4,5"
14,4443,fear,./data/images/images/train/fear/10107.jpg,"1,2,4,5"
15,4444,fear,./data/images/images/train/fear/10123.jpg,"1,2,4,5,25"
16,4445,fear,./data/images/images/train/fear/10125.jpg,"1,2,4,5,25"
17,4446,fear,./data/images/images/train/fear/1013.jpg,"1,2,4,5,25"
18,4447,fear,./data/images/images/train/fear/10131.jpg,"1,2,4,5,25"
19,4448,fear,./data/images/images/train/fear/10147.jpg,"1,2,4,5,25"
20,4449,fear,./data/images/images/train/fear/10149.jpg,"1,2,4,5,25"
21,4450,fear,./data/images/images/train/fear/10152.jpg,"1,2,4,5,25"
22,4451,fear,./data/images/images/train/fear/10169.jpg,"1,2,4,5,25"
23,4452,fear,./data/images/images/train/fear/10170.jpg,"1,2,4,5"
24,4453,fear,./data/images/images/train/fear/10183.jpg,"1,2,4,5"
25,4454,fear,./data/images/images/train/fear/10191.jpg,"1,2,4,5,25"
26,4455,fear,./data/images/images/train/fear/10201.jpg,"1,2,4,5"
27,4456,fear,./data/images/images/train/fear/10205.jpg,"1,2,4,5"
28,4457,fear,./data/images/images/train/fear/10208.jpg,"1,2,4,5"
29,4458,fear,./data/images/images/train/fear/10209.jpg,"1,2,4,5"
30,4459,fear,./data/images/images/train/fear/10210.jpg,"1,2,4,5"
31,4460,fear,./data/images/images/train/fear/10212.jpg,"1,2,4,5,25"
32,4461,fear,./data/images/images/train/fear/10220.jpg,"1,2,4,5"
33,4462,fear,./data/images/images/train/fear/10230.jpg,"1,2,4,5"
34,4463,fear,./data/images/images/train/fear/10238.jpg,"1,2,4,5,25"
35,4464,fear,./data/images/images/train/fear/10244.jpg,"1,2,4,5"
36,4465,fear,./data/images/images/train/fear/1025.jpg,"1,2,4,5,25"
37,4466,fear,./data/images/images/train/fear/10262.jpg,"1,2,4,5,25"
38,4467,fear,./data/images/images/train/fear/10269.jpg,"1,2,4,5"
39,4468,fear,./data/images/images/train/fear/10279.jpg,"1,2,4,5,25"
40,4469,fear,./data/images/images/train/fear/10281.jpg,"1,2,4,5"
41,4470,fear,./data/images/images/train/fear/10285.jpg,"1,2,4,5,25"
42,4471,fear,./data/images/images/train/fear/10299.jpg,"1,2,4,5"
43,4472,fear,./data/images/images/train/fear/10300.jpg,"1,2,4,5"
44,4473,fear,./data/images/images/train/fear/10303.jpg,"1,2,4,5"
45,4474,fear,./data/images/images/train/fear/10319.jpg,"1,2,4,5,25"
