,session,emotion,img,aus
0,8532,happy,./data/images/images/train/happy/100.jpg,"6,12"
1,8533,happy,./data/images/images/train/happy/10000.jpg,"6,12"
2,8534,happy,./data/images/images/train/happy/10001.jpg,"6,12"
3,8535,happy,./data/images/images/train/happy/10005.jpg,"6,12"
4,8536,happy,./data/images/images/train/happy/10035.jpg,"6,12"
5,8537,happy,./data/images/images/train/happy/10039.jpg,"6,12"
6,8538,happy,./data/images/images/train/happy/1004.jpg,"6,12"
7,8539,happy,./data/images/images/train/happy/10042.jpg,"6,12"
8,8540,happy,./data/images/images/train/happy/10046.jpg,"6,12"
9,8541,happy,./data/images/images/train/happy/10050.jpg,"6,12"
10,8542,happy,./data/images/images/train/happy/1006.jpg,"6,12"
11,8543,happy,./data/images/images/train/happy/10060.jpg,"6,12"
12,8544,happy,./data/images/images/train/happy/10066.jpg,"6,12"
13,8545,happy,./data/images/images/train/happy/10071.jpg,"6,12"
14,8546,happy,./data/images/images/train/happy/10083.jpg,"6,12"
15,8547,happy,./data/images/images/train/happy/10092.jpg,"6,12"
16,8548,happy,./data/images/images/train/happy/10094.jpg,"6,12"
17,8549,happy,./data/images/images/train/happy/10098.jpg,"6,12"
18,8550,happy,./data/images/images/train/happy/10102.jpg,"6,12"
19,8551,happy,./data/images/images/train/happy/10104.jpg,"6,12"
20,8552,happy,./data/images/images/train/happy/10111.jpg,"6,12"
21,8553,happy,./data/images/images/train/happy/1012.jpg,"6,12"
22,8554,happy,./data/images/images/train/happy/10120.jpg,"6,12"
23,8555,happy,./data/images/images/train/happy/10124.jpg,"6,12"
24,8556,happy,./data/images/images/train/happy/10135.jpg,"6,12"
25,8557,happy,./data/images/images/train/happy/10139.jpg,"6,12"
26,8558,happy,./data/images/images/train/happy/1014.jpg,"6,12"
27,8559,happy,./data/images/images/train/happy/10140.jpg,"6,12"
28,8560,happy,./data/images/images/train/happy/10145.jpg,"6,12"
29,8561,happy,./data/images/images/train/happy/10146.jpg,"6,12"
30,8562,happy,./data/images/images/train/happy/10151.jpg,"6,12"
31,8563,happy,./data/images/images/train/happy/10153.jpg,"6,12"
32,8564,happy,./data/images/images/train/happy/10156.jpg,"6,12"
33,8565,happy,./data/images/images/train/happy/10157.jpg,"6,12"
34,8566,happy,./data/images/images/train/happy/10159.jpg,"6,12"
35,8567,happy,./data/images/images/train/happy/10160.jpg,"6,12"
36,8568,happy,./data/images/images/train/happy/10161.jpg,"6,12"
37,8569,happy,./data/images/images/train/happy/10166.jpg,"6,12"
38,8570,happy,./data/images/images/train/happy/10168.jpg,"6,12"
39,8571,happy,./data/images/images/train/happy/1017.jpg,"6,12"
40,8572,happy,./data/images/images/train/happy/10182.jpg,"6,12"
41,8573,happy,./data/images/images/train/happy/10186.jpg,"6,12"
42,8574,happy,./data/images/images/train/happy/10187.jpg,"6,12"
43,8575,happy,./data/images/images/train/happy/10193.jpg,"6,12"
44,8576,happy,./data/images/images/train/happy/10194.jpg,"6,12"
45,8577,happy,./data/images/images/train/happy/10198.jpg,"6,12"
46,8578,happy,./data/images/images/train/happy/10199.jpg,"6,12"
47,8579,happy,./data/images/images/train/happy/10203.jpg,"6,12"
48,8580,happy,./data/images/images/train/happy/10224.jpg,"6,12"
49,8581,happy,./data/images/images/train/happy/10228.jpg,"6,12"
50,8582,happy,./data/images/images/train/happy/10229.jpg,"6,12"
51,8583,happy,./data/images/images/train/happy/1023.jpg,"6,12"
52,8584,happy,./data/images/images/train/happy/10231.jpg,"6,12"
53,8585,happy,./data/images/images/train/happy/10235.jpg,"6,12"
54,8586,happy,./data/images/images/train/happy/10243.jpg,"6,12"
55,8587,happy,./data/images/images/train/happy/10258.jpg,"6,12"
56,8588,happy,./data/images/images/train/happy/10270.jpg,"6,12"
57,8589,happy,./data/images/images/train/happy/10272.jpg,"6,12"
58,8590,happy,./data/images/images/train/happy/10277.jpg,"6,12"
59,8591,happy,./data/images/images/train/happy/10280.jpg,"6,12"
60,8592,happy,./data/images/images/train/happy/10283.jpg,"6,12"
61,8593,happy,./data/images/images/train/happy/10284.jpg,"6,12"
62,8594,happy,./data/images/images/train/happy/1029.jpg,"6,12"
63,8595,happy,./data/images/images/train/happy/10290.jpg,"6,12"
64,8596,happy,./data/images/images/train/happy/10291.jpg,"6,12"
65,8597,happy,./data/images/images/train/happy/10295.jpg,"6,12"
66,8598,happy,./data/images/images/train/happy/10297.jpg,"6,12"
67,8599,happy,./data/images/images/train/happy/10298.jpg,"6,12"
68,8600,happy,./data/images/images/train/happy/103.jpg,"6,12"
69,8601,happy,./data/images/images/train/happy/10307.jpg,"6,12"
70,8602,happy,./data/images/images/train/happy/10314.jpg,"6,12"
71,8603,happy,./data/images/images/train/happy/10318.jpg,"6,12"
72,8604,happy,./data/images/images/train/happy/1032.jpg,"6,12"
73,8605,happy,./data/images/images/train/happy/10327.jpg,"6,12"
74,8606,happy,./data/images/images/train/happy/10331.jpg,"6,12"
75,8607,happy,./data/images/images/train/happy/10341.jpg,"6,12"
76,8608,happy,./data/images/images/train/happy/10343.jpg,"6,12"
77,8609,happy,./data/images/images/train/happy/10345.jpg,"6,12"
78,8610,happy,./data/images/images/train/happy/10347.jpg,"6,12"
79,8611,happy,./data/images/images/train/happy/10351.jpg,"6,12"
80,8612,happy,./data/images/images/train/happy/10366.jpg,"6,12"
81,8613,happy,./data/images/images/train/happy/10368.jpg,"6,12"
82,8614,happy,./data/images/images/train/happy/10376.jpg,"6,12"
83,8615,happy,./data/images/images/train/happy/1038.jpg,"6,12"
84,8616,happy,./data/images/images/train/happy/10387.jpg,"6,12"
85,8617,happy,./data/images/images/train/happy/10398.jpg,"6,12"
86,8618,happy,./data/images/images/train/happy/10400.jpg,"6,12"
87,8619,happy,./data/images/images/train/happy/10418.jpg,"6,12"
88,8620,happy,./data/images/images/train/happy/10422.jpg,"6,12"
89,8621,happy,./data/images/images/train/happy/10424.jpg,"6,12"
90,8622,happy,./data/images/images/train/happy/10427.jpg,"6,12"
91,8623,happy,./data/images/images/train/happy/10428.jpg,"6,12"
92,8624,happy,./data/images/images/train/happy/10436.jpg,"6,12"
93,8625,happy,./data/images/images/train/happy/10438.jpg,"6,12"
94,8626,happy,./data/images/images/train/happy/1044.jpg,"6,12"
95,8627,happy,./data/images/images/train/happy/10447.jpg,"6,12"
96,8628,happy,./data/images/images/train/happy/10449.jpg,"6,12"
97,8629,happy,./data/images/images/train/happy/1046.jpg,"6,12"
98,8630,happy,./data/images/images/train/happy/10464.jpg,"6,12"
99,8631,happy,./data/images/images/train/happy/10465.jpg,"6,12"
100,8632,happy,./data/images/images/train/happy/10469.jpg,"6,12"
101,8633,happy,./data/images/images/train/happy/1047.jpg,"6,12"
102,8634,happy,./data/images/images/train/happy/10471.jpg,"6,12"
103,8635,happy,./data/images/images/train/happy/10477.jpg,"6,12"
104,8636,happy,./data/images/images/train/happy/10478.jpg,"6,12"
105,8637,happy,./data/images/images/train/happy/1048.jpg,"6,12"
106,8638,happy,./data/images/images/train/happy/10481.jpg,"6,12"
107,8639,happy,./data/images/images/train/happy/10483.jpg,"6,12"
108,8640,happy,./data/images/images/train/happy/10485.jpg,"6,12"
109,8641,happy,./data/images/images/train/happy/1049.jpg,"6,12"
110,8642,happy,./data/images/images/train/happy/10492.jpg,"6,12"
111,8643,happy,./data/images/images/train/happy/105.jpg,"6,12"
112,8644,happy,./data/images/images/train/happy/10502.jpg,"6,12"
113,8645,happy,./data/images/images/train/happy/10506.jpg,"6,12"
114,8646,happy,./data/images/images/train/happy/10509.jpg,"6,12"
115,8647,happy,./data/images/images/train/happy/10514.jpg,"6,12"
116,8648,happy,./data/images/images/train/happy/1052.jpg,"6,12"
117,8649,happy,./data/images/images/train/happy/10525.jpg,"6,12"
118,8650,happy,./data/images/images/train/happy/1053.jpg,"6,12"
119,8651,happy,./data/images/images/train/happy/10537.jpg,"6,12"
120,8652,happy,./data/images/images/train/happy/10542.jpg,"6,12"
121,8653,happy,./data/images/images/train/happy/10543.jpg,"6,12"
122,8654,happy,./data/images/images/train/happy/10550.jpg,"6,12"
123,8655,happy,./data/images/images/train/happy/10555.jpg,"6,12"
124,8656,happy,./data/images/images/train/happy/1057.jpg,"6,12"
125,8657,happy,./data/images/images/train/happy/10570.jpg,"6,12"
126,8658,happy,./data/images/images/train/happy/10574.jpg,"6,12"
127,8659,happy,./data/images/images/train/happy/10578.jpg,"6,12"
128,8660,happy,./data/images/images/train/happy/10587.jpg,"6,12"
129,8661,happy,./data/images/images/train/happy/10590.jpg,"6,12"
130,8662,happy,./data/images/images/train/happy/10594.jpg,"6,12"
131,8663,happy,./data/images/images/train/happy/10597.jpg,"6,12"
132,8664,happy,./data/images/images/train/happy/10599.jpg,"6,12"
133,8665,happy,./data/images/images/train/happy/10601.jpg,"6,12"
134,8666,happy,./data/images/images/train/happy/10608.jpg,"6,12"
135,8667,happy,./data/images/images/train/happy/10609.jpg,"6,12"
136,8668,happy,./data/images/images/train/happy/10610.jpg,"6,12"
137,8669,happy,./data/images/images/train/happy/10615.jpg,"6,12"
138,8670,happy,./data/images/images/train/happy/10617.jpg,"6,12"
139,8671,happy,./data/images/images/train/happy/10621.jpg,"6,12"
140,8672,happy,./data/images/images/train/happy/10629.jpg,"6,12"
141,8673,happy,./data/images/images/train/happy/10635.jpg,"6,12"
142,8674,happy,./data/images/images/train/happy/10639.jpg,"6,12"
143,8675,happy,./data/images/images/train/happy/10641.jpg,"6,12"
144,8676,happy,./data/images/images/train/happy/1065.jpg,"6,12"
145,8677,happy,./data/images/images/train/happy/10652.jpg,"6,12"
146,8678,happy,./data/images/images/train/happy/10660.jpg,"6,12"
147,8679,happy,./data/images/images/train/happy/10678.jpg,"6,12"
148,8680,happy,./data/images/images/train/happy/10680.jpg,"6,12"
149,8681,happy,./data/images/images/train/happy/10681.jpg,"6,12"
150,8682,happy,./data/images/images/train/happy/10685.jpg,"6,12"
151,8683,happy,./data/images/images/train/happy/10690.jpg,"6,12"
152,8684,happy,./data/images/images/train/happy/10691.jpg,"6,12"
153,8685,happy,./data/images/images/train/happy/10697.jpg,"6,12"
154,8686,happy,./data/images/images/train/happy/10707.jpg,"6,12"
155,8687,happy,./data/images/images/train/happy/10708.jpg,"6,12"
156,8688,happy,./data/images/images/train/happy/1072.jpg,"6,12"
157,8689,happy,./data/images/images/train/happy/10722.jpg,"6,12"
158,8690,happy,./data/images/images/train/happy/10724.jpg,"6,12"
159,8691,happy,./data/images/images/train/happy/10727.jpg,"6,12"
160,8692,happy,./data/images/images/train/happy/10728.jpg,"6,12"
161,8693,happy,./data/images/images/train/happy/10730.jpg,"6,12"
162,8694,happy,./data/images/images/train/happy/10733.jpg,"6,12"
163,8695,happy,./data/images/images/train/happy/10735.jpg,"6,12"
164,8696,happy,./data/images/images/train/happy/10739.jpg,"6,12"
165,8697,happy,./data/images/images/train/happy/10752.jpg,"6,12"
166,8698,happy,./data/images/images/train/happy/10759.jpg,"6,12"
167,8699,happy,./data/images/images/train/happy/1076.jpg,"6,12"
168,8700,happy,./data/images/images/train/happy/10763.jpg,"6,12"
169,8701,happy,./data/images/images/train/happy/10764.jpg,"6,12"
170,8702,happy,./data/images/images/train/happy/10766.jpg,"6,12"
171,8703,happy,./data/images/images/train/happy/1077.jpg,"6,12"
172,8704,happy,./data/images/images/train/happy/10772.jpg,"6,12"
173,8705,happy,./data/images/images/train/happy/10782.jpg,"6,12"
174,8706,happy,./data/images/images/train/happy/10783.jpg,"6,12"
175,8707,happy,./data/images/images/train/happy/10784.jpg,"6,12"
176,8708,happy,./data/images/images/train/happy/10789.jpg,"6,12"
177,8709,happy,./data/images/images/train/happy/10791.jpg,"6,12"
178,8710,happy,./data/images/images/train/happy/10796.jpg,"6,12"
179,8711,happy,./data/images/images/train/happy/10807.jpg,"6,12"
180,8712,happy,./data/images/images/train/happy/10809.jpg,"6,12"
181,8713,happy,./data/images/images/train/happy/1082.jpg,"6,12"
182,8714,happy,./data/images/images/train/happy/10826.jpg,"6,12"
183,8715,happy,./data/images/images/train/happy/1083.jpg,"6,12"
184,8716,happy,./data/images/images/train/happy/10838.jpg,"6,12"
185,8717,happy,./data/images/images/train/happy/1085.jpg,"6,12"
186,8718,happy,./data/images/images/train/happy/10850.jpg,"6,12"
187,8719,happy,./data/images/images/train/happy/10852.jpg,"6,12"
188,8720,happy,./data/images/images/train/happy/10856.jpg,"6,12"
189,8721,happy,./data/images/images/train/happy/10864.jpg,"6,12"
190,8722,happy,./data/images/images/train/happy/10870.jpg,"6,12"
191,8723,happy,./data/images/images/train/happy/10872.jpg,"6,12"
192,8724,happy,./data/images/images/train/happy/10876.jpg,"6,12"
193,8725,happy,./data/images/images/train/happy/10877.jpg,"6,12"
194,8726,happy,./data/images/images/train/happy/1088.jpg,"6,12"
195,8727,happy,./data/images/images/train/happy/10880.jpg,"6,12"
196,8728,happy,./data/images/images/train/happy/10885.jpg,"6,12"
197,8729,happy,./data/images/images/train/happy/10891.jpg,"6,12"
198,8730,happy,./data/images/images/train/happy/10895.jpg,"6,12"
199,8731,happy,./data/images/images/train/happy/109.jpg,"6,12"
200,8732,happy,./data/images/images/train/happy/10911.jpg,"6,12"
201,8733,happy,./data/images/images/train/happy/10914.jpg,"6,12"
202,8734,happy,./data/images/images/train/happy/10917.jpg,"6,12"
203,8735,happy,./data/images/images/train/happy/10920.jpg,"6,12"
204,8736,happy,./data/images/images/train/happy/10921.jpg,"6,12"
205,8737,happy,./data/images/images/train/happy/10927.jpg,"6,12"
206,8738,happy,./data/images/images/train/happy/10929.jpg,"6,12"
207,8739,happy,./data/images/images/train/happy/10930.jpg,"6,12"
208,8740,happy,./data/images/images/train/happy/1095.jpg,"6,12"
209,8741,happy,./data/images/images/train/happy/10960.jpg,"6,12"
210,8742,happy,./data/images/images/train/happy/1097.jpg,"6,12"
211,8743,happy,./data/images/images/train/happy/10972.jpg,"6,12"
212,8744,happy,./data/images/images/train/happy/10974.jpg,"6,12"
213,8745,happy,./data/images/images/train/happy/1099.jpg,"6,12"
214,8746,happy,./data/images/images/train/happy/10990.jpg,"6,12"
215,8747,happy,./data/images/images/train/happy/10996.jpg,"6,12"
216,8748,happy,./data/images/images/train/happy/10997.jpg,"6,12"
217,8749,happy,./data/images/images/train/happy/11006.jpg,"6,12"
218,8750,happy,./data/images/images/train/happy/11007.jpg,"6,12"
219,8751,happy,./data/images/images/train/happy/1103.jpg,"6,12"
220,8752,happy,./data/images/images/train/happy/11033.jpg,"6,12"
221,8753,happy,./data/images/images/train/happy/11035.jpg,"6,12"
222,8754,happy,./data/images/images/train/happy/11041.jpg,"6,12"
223,8755,happy,./data/images/images/train/happy/11046.jpg,"6,12"
224,8756,happy,./data/images/images/train/happy/11056.jpg,"6,12"
225,8757,happy,./data/images/images/train/happy/11058.jpg,"6,12"
226,8758,happy,./data/images/images/train/happy/11059.jpg,"6,12"
227,8759,happy,./data/images/images/train/happy/11066.jpg,"6,12"
228,8760,happy,./data/images/images/train/happy/11067.jpg,"6,12"
229,8761,happy,./data/images/images/train/happy/11076.jpg,"6,12"
230,8762,happy,./data/images/images/train/happy/11077.jpg,"6,12"
231,8763,happy,./data/images/images/train/happy/11078.jpg,"6,12"
232,8764,happy,./data/images/images/train/happy/11079.jpg,"6,12"
233,8765,happy,./data/images/images/train/happy/11080.jpg,"6,12"
234,8766,happy,./data/images/images/train/happy/11081.jpg,"6,12"
235,8767,happy,./data/images/images/train/happy/11091.jpg,"6,12"
236,8768,happy,./data/images/images/train/happy/11092.jpg,"6,12"
237,8769,happy,./data/images/images/train/happy/111.jpg,"6,12"
238,8770,happy,./data/images/images/train/happy/11114.jpg,"6,12"
239,8771,happy,./data/images/images/train/happy/11120.jpg,"6,12"
240,8772,happy,./data/images/images/train/happy/11121.jpg,"6,12"
241,8773,happy,./data/images/images/train/happy/11122.jpg,"6,12"
242,8774,happy,./data/images/images/train/happy/11127.jpg,"6,12"
243,8775,happy,./data/images/images/train/happy/11129.jpg,"6,12"
244,8776,happy,./data/images/images/train/happy/1113.jpg,"6,12"
245,8777,happy,./data/images/images/train/happy/11133.jpg,"6,12"
246,8778,happy,./data/images/images/train/happy/11134.jpg,"6,12"
247,8779,happy,./data/images/images/train/happy/11142.jpg,"6,12"
248,8780,happy,./data/images/images/train/happy/11144.jpg,"6,12"
249,8781,happy,./data/images/images/train/happy/11162.jpg,"6,12"
250,8782,happy,./data/images/images/train/happy/11164.jpg,"6,12"
251,8783,happy,./data/images/images/train/happy/11166.jpg,"6,12"
252,8784,happy,./data/images/images/train/happy/1117.jpg,"6,12"
253,8785,happy,./data/images/images/train/happy/11172.jpg,"6,12"
254,8786,happy,./data/images/images/train/happy/11177.jpg,"6,12"
255,8787,happy,./data/images/images/train/happy/11191.jpg,"6,12"
256,8788,happy,./data/images/images/train/happy/11193.jpg,"6,12"
257,8789,happy,./data/images/images/train/happy/11204.jpg,"6,12"
258,8790,happy,./data/images/images/train/happy/11207.jpg,"6,12"
259,8791,happy,./data/images/images/train/happy/11210.jpg,"6,12"
260,8792,happy,./data/images/images/train/happy/11212.jpg,"6,12"
261,8793,happy,./data/images/images/train/happy/11221.jpg,"6,12"
262,8794,happy,./data/images/images/train/happy/11225.jpg,"6,12"
263,8795,happy,./data/images/images/train/happy/11227.jpg,"6,12"
264,8796,happy,./data/images/images/train/happy/11230.jpg,"6,12"
265,8797,happy,./data/images/images/train/happy/11232.jpg,"6,12"
266,8798,happy,./data/images/images/train/happy/11237.jpg,"6,12"
267,8799,happy,./data/images/images/train/happy/11242.jpg,"6,12"
268,8800,happy,./data/images/images/train/happy/11244.jpg,"6,12"
269,8801,happy,./data/images/images/train/happy/11245.jpg,"6,12"
270,8802,happy,./data/images/images/train/happy/11253.jpg,"6,12"
271,8803,happy,./data/images/images/train/happy/11254.jpg,"6,12"
272,8804,happy,./data/images/images/train/happy/11260.jpg,"6,12"
273,8805,happy,./data/images/images/train/happy/11270.jpg,"6,12"
274,8806,happy,./data/images/images/train/happy/11272.jpg,"6,12"
275,8807,happy,./data/images/images/train/happy/11282.jpg,"6,12"
276,8808,happy,./data/images/images/train/happy/11285.jpg,"6,12"
277,8809,happy,./data/images/images/train/happy/11287.jpg,"6,12"
278,8810,happy,./data/images/images/train/happy/11299.jpg,"6,12"
279,8811,happy,./data/images/images/train/happy/11300.jpg,"6,12"
280,8812,happy,./data/images/images/train/happy/1131.jpg,"6,12"
281,8813,happy,./data/images/images/train/happy/11312.jpg,"6,12"
282,8814,happy,./data/images/images/train/happy/11332.jpg,"6,12"
283,8815,happy,./data/images/images/train/happy/11333.jpg,"6,12"
284,8816,happy,./data/images/images/train/happy/11334.jpg,"6,12"
285,8817,happy,./data/images/images/train/happy/11335.jpg,"6,12"
286,8818,happy,./data/images/images/train/happy/11336.jpg,"6,12"
287,8819,happy,./data/images/images/train/happy/11343.jpg,"6,12"
288,8820,happy,./data/images/images/train/happy/11350.jpg,"6,12"
289,8821,happy,./data/images/images/train/happy/11351.jpg,"6,12"
290,8822,happy,./data/images/images/train/happy/11356.jpg,"6,12"
291,8823,happy,./data/images/images/train/happy/11375.jpg,"6,12"
292,8824,happy,./data/images/images/train/happy/11382.jpg,"6,12"
293,8825,happy,./data/images/images/train/happy/11384.jpg,"6,12"
294,8826,happy,./data/images/images/train/happy/114.jpg,"6,12"
295,8827,happy,./data/images/images/train/happy/1140.jpg,"6,12"
296,8828,happy,./data/images/images/train/happy/11408.jpg,"6,12"
297,8829,happy,./data/images/images/train/happy/11409.jpg,"6,12"
298,8830,happy,./data/images/images/train/happy/11417.jpg,"6,12"
299,8831,happy,./data/images/images/train/happy/11422.jpg,"6,12"
300,8832,happy,./data/images/images/train/happy/11424.jpg,"6,12"
301,8833,happy,./data/images/images/train/happy/11428.jpg,"6,12"
302,8834,happy,./data/images/images/train/happy/11430.jpg,"6,12"
303,8835,happy,./data/images/images/train/happy/11436.jpg,"6,12"
304,8836,happy,./data/images/images/train/happy/11439.jpg,"6,12"
305,8837,happy,./data/images/images/train/happy/11444.jpg,"6,12"
306,8838,happy,./data/images/images/train/happy/11447.jpg,"6,12"
307,8839,happy,./data/images/images/train/happy/1146.jpg,"6,12"
308,8840,happy,./data/images/images/train/happy/11470.jpg,"6,12"
309,8841,happy,./data/images/images/train/happy/11473.jpg,"6,12"
310,8842,happy,./data/images/images/train/happy/11476.jpg,"6,12"
311,8843,happy,./data/images/images/train/happy/11477.jpg,"6,12"
312,8844,happy,./data/images/images/train/happy/11478.jpg,"6,12"
313,8845,happy,./data/images/images/train/happy/11486.jpg,"6,12"
314,8846,happy,./data/images/images/train/happy/11487.jpg,"6,12"
315,8847,happy,./data/images/images/train/happy/11489.jpg,"6,12"
316,8848,happy,./data/images/images/train/happy/1149.jpg,"6,12"
317,8849,happy,./data/images/images/train/happy/11492.jpg,"6,12"
318,8850,happy,./data/images/images/train/happy/11493.jpg,"6,12"
319,8851,happy,./data/images/images/train/happy/11494.jpg,"6,12"
320,8852,happy,./data/images/images/train/happy/11495.jpg,"6,12"
321,8853,happy,./data/images/images/train/happy/11501.jpg,"6,12"
322,8854,happy,./data/images/images/train/happy/11504.jpg,"6,12"
323,8855,happy,./data/images/images/train/happy/11507.jpg,"6,12"
324,8856,happy,./data/images/images/train/happy/1151.jpg,"6,12"
325,8857,happy,./data/images/images/train/happy/11515.jpg,"6,12"
326,8858,happy,./data/images/images/train/happy/11522.jpg,"6,12"
327,8859,happy,./data/images/images/train/happy/11526.jpg,"6,12"
328,8860,happy,./data/images/images/train/happy/11533.jpg,"6,12"
329,8861,happy,./data/images/images/train/happy/11538.jpg,"6,12"
330,8862,happy,./data/images/images/train/happy/11539.jpg,"6,12"
331,8863,happy,./data/images/images/train/happy/11543.jpg,"6,12"
332,8864,happy,./data/images/images/train/happy/11544.jpg,"6,12"
333,8865,happy,./data/images/images/train/happy/1155.jpg,"6,12"
334,8866,happy,./data/images/images/train/happy/11553.jpg,"6,12"
335,8867,happy,./data/images/images/train/happy/11554.jpg,"6,12"
336,8868,happy,./data/images/images/train/happy/11555.jpg,"6,12"
