,session,emotion,img,aus
0,20678,sad,./data/images/images/train/sad/10006.jpg,"1,4,15,17"
1,20679,sad,./data/images/images/train/sad/10008.jpg,"1,4,15"
2,20680,sad,./data/images/images/train/sad/1001.jpg,"1,4,15,17"
3,20681,sad,./data/images/images/train/sad/10020.jpg,"1,4,15,17"
4,20682,sad,./data/images/images/train/sad/10028.jpg,"1,4,15"
5,20683,sad,./data/images/images/train/sad/10034.jpg,"1,4,15,17"
6,20684,sad,./data/images/images/train/sad/10049.jpg,"1,4,15"
7,20685,sad,./data/images/images/train/sad/1005.jpg,"1,4,15"
8,20686,sad,./data/images/images/train/sad/10059.jpg,"1,4,15"
9,20687,sad,./data/images/images/train/sad/10064.jpg,"1,4,15"
10,20688,sad,./data/images/images/train/sad/1007.jpg,"1,4,15"
11,20689,sad,./data/images/images/train/sad/10070.jpg,"1,4,15"
12,20690,sad,./data/images/images/train/sad/10078.jpg,"1,4,15,17"
13,20691,sad,./data/images/images/train/sad/10081.jpg,"1,4,15"
14,20692,sad,./data/images/images/train/sad/10089.jpg,"1,4,15"
15,20693,sad,./data/images/images/train/sad/1009.jpg,"1,4,15"
16,20694,sad,./data/images/images/train/sad/1010.jpg,"1,4,15,17"
17,20695,sad,./data/images/images/train/sad/10103.jpg,"1,4,15"
18,20696,sad,./data/images/images/train/sad/10108.jpg,"1,4,15"
19,20697,sad,./data/images/images/train/sad/1011.jpg,"1,4,15"
20,20698,sad,./data/images/images/train/sad/10127.jpg,"1,4,15,17"
21,20699,sad,./data/images/images/train/sad/10128.jpg,"1,4,15,17"
22,20700,sad,./data/images/images/train/sad/10132.jpg,"1,4,15"
23,20701,sad,./data/images/images/train/sad/10133.jpg,"1,4,15,17"
24,20702,sad,./data/images/images/train/sad/10164.jpg,"1,4,15"
25,20703,sad,./data/images/images/train/sad/10165.jpg,"1,4,15"
26,20704,sad,./data/images/images/train/sad/10179.jpg,"1,4,15,17"
27,20705,sad,./data/images/images/train/sad/10188.jpg,"1,4,15,17"
28,20706,sad,./data/images/images/train/sad/1019.jpg,"1,4,15,17"
29,20707,sad,./data/images/images/train/sad/10225.jpg,"1,4,15"
30,20708,sad,./data/images/images/train/sad/10245.jpg,"1,4,15,17"
31,20709,sad,./data/images/images/train/sad/10255.jpg,"1,4,15,17"
32,20710,sad,./data/images/images/train/sad/10275.jpg,"1,4,15"
33,20711,sad,./data/images/images/train/sad/10289.jpg,"1,4,15,17"
34,20712,sad,./data/images/images/train/sad/10293.jpg,"1,4,15"
35,20713,sad,./data/images/images/train/sad/1030.jpg,"1,4,15,17"
36,20714,sad,./data/images/images/train/sad/10305.jpg,"1,4,15,17"
37,20715,sad,./data/images/images/train/sad/10308.jpg,"1,4,15"
38,20716,sad,./data/images/images/train/sad/1031.jpg,"1,4,15,17"
39,20717,sad,./data/images/images/train/sad/10311.jpg,"1,4,15,17"
40,20718,sad,./data/images/images/train/sad/10313.jpg,"1,4,15,17"
41,20719,sad,./data/images/images/train/sad/10321.jpg,"1,4,15,17"
42,20720,sad,./data/images/images/train/sad/10332.jpg,"1,4,15"
43,20721,sad,./data/images/images/train/sad/10334.jpg,"1,4,15,17"
44,20722,sad,./data/images/images/train/sad/1035.jpg,"1,4,15"
45,20723,sad,./data/images/images/train/sad/10353.jpg,"1,4,15"
46,20724,sad,./data/images/images/train/sad/10358.jpg,"1,4,15,17"
47,20725,sad,./data/images/images/train/sad/10379.jpg,"1,4,15"
