,session,emotion,img,aus
0,25616,surprise,./data/images/images/train/surprise/10007.jpg,"1,2,26"
1,25617,surprise,./data/images/images/train/surprise/10009.jpg,"1,2,26"
2,25618,surprise,./data/images/images/train/surprise/10011.jpg,"1,2,26"
3,25619,surprise,./data/images/images/train/surprise/10013.jpg,"1,2,26"
4,25620,surprise,./data/images/images/train/surprise/10061.jpg,"1,2,26"
5,25621,surprise,./data/images/images/train/surprise/10076.jpg,"1,2,26"
6,25622,surprise,./data/images/images/train/surprise/10080.jpg,"1,2,26"
7,25623,surprise,./data/images/images/train/surprise/10082.jpg,"1,2,5,26"
8,25624,surprise,./data/images/images/train/surprise/10087.jpg,"1,2,5,26"
9,25625,surprise,./data/images/images/train/surprise/10144.jpg,"1,2,26"
10,25626,surprise,./data/images/images/train/surprise/10184.jpg,"1,2,5,26"
11,25627,surprise,./data/images/images/train/surprise/10211.jpg,"1,2,5,26"
12,25628,surprise,./data/images/images/train/surprise/10213.jpg,"1,2,26"
13,25629,surprise,./data/images/images/train/surprise/10227.jpg,"1,2,26"
14,25630,surprise,./data/images/images/train/surprise/10232.jpg,"1,2,26"
15,25631,surprise,./data/images/images/train/surprise/10241.jpg,"1,2,5,26"
16,25632,surprise,./data/images/images/train/surprise/10249.jpg,"1,2,26"
17,25633,surprise,./data/images/images/train/surprise/10256.jpg,"1,2,26"
18,25634,surprise,./data/images/images/train/surprise/10260.jpg,"1,2,5,26"
19,25635,surprise,./data/images/images/train/surprise/10261.jpg,"1,2,5,26"
20,25636,surprise,./data/images/images/train/surprise/1028.jpg,"1,2,26"
21,25637,surprise,./data/images/images/train/surprise/10282.jpg,"1,2,26"
22,25638,surprise,./data/images/images/train/surprise/10288.jpg,"1,2,5,26"
23,25639,surprise,./data/images/images/train/surprise/10333.jpg,"1,2,26"
24,25640,surprise,./data/images/images/train/surprise/10337.jpg,"1,2,26"
25,25641,surprise,./data/images/images/train/surprise/10356.jpg,"1,2,26"
26,25642,surprise,./data/images/images/train/surprise/10357.jpg,"1,2,5,26"
27,25643,surprise,./data/images/images/train/surprise/10360.jpg,"1,2,5,26"
28,25644,surprise,./data/images/images/train/surprise/10374.jpg,"1,2,5,26"
29,25645,surprise,./data/images/images/train/surprise/10391.jpg,"1,2,5,26"
30,25646,surprise,./data/images/images/train/surprise/10392.jpg,"1,2,5,26"
31,25647,surprise,./data/images/images/train/surprise/10395.jpg,"1,2,5,26"
32,25648,surprise,./data/images/images/train/surprise/1040.jpg,"1,2,5,26"
33,25649,surprise,./data/images/images/train/surprise/10402.jpg,"1,2,26"
34,25650,surprise,./data/images/images/train/surprise/10408.jpg,"1,2,5,26"
35,25651,surprise,./data/images/images/train/surprise/10410.jpg,"1,2,5,26"
36,25652,surprise,./data/images/images/train/surprise/10411.jpg,"1,2,5,26"
37,25653,surprise,./data/images/images/train/surprise/10417.jpg,"1,2,5,26"
38,25654,surprise,./data/images/images/train/surprise/1042.jpg,"1,2,26"
39,25655,surprise,./data/images/images/train/surprise/1043.jpg,"1,2,5,26"
40,25656,surprise,./data/images/images/train/surprise/10446.jpg,"1,2,5,26"
41,25657,surprise,./data/images/images/train/surprise/10473.jpg,"1,2,5,26"
42,25658,surprise,./data/images/images/train/surprise/10491.jpg,"1,2,5,26"
43,25659,surprise,./data/images/images/train/surprise/1050.jpg,"1,2,26"
44,25660,surprise,./data/images/images/train/surprise/10505.jpg,"1,2,26"
45,25661,surprise,./data/images/images/train/surprise/10527.jpg,"1,2,5,26"
46,25662,surprise,./data/images/images/train/surprise/10530.jpg,"1,2,5,26"
47,25663,surprise,./data/images/images/train/surprise/10556.jpg,"1,2,26"
48,25664,surprise,./data/images/images/train/surprise/10566.jpg,"1,2,26"
49,25665,surprise,./data/images/images/train/surprise/10575.jpg,"1,2,5,26"
50,25666,surprise,./data/images/images/train/surprise/10576.jpg,"1,2,5,26"
51,25667,surprise,./data/images/images/train/surprise/10579.jpg,"1,2,26"
